mpg,cylinders,displacement,weight,acceleration,Class
15,8,318,3777,12.5,73
12,8,429,4952,11.5,73
13,8,400,4464,12,73
13,8,351,4363,13,73
14,8,318,4237,14.5,73
13,8,440,4735,11,73
12,8,455,4951,11,73
13,8,360,3821,11,73
18,6,225,3121,16.5,73
16,6,250,3278,18,73
18,6,232,2945,16,73
18,6,250,3021,16.5,73
23,6,198,2904,16,73
26,4,97,1950,21,73
11,8,400,4997,14,73
12,8,400,4906,12.5,73
13,8,360,4654,13,73
12,8,350,4499,12.5,73
18,6,232,2789,15,73
20,4,97,2279,19,73
21,4,140,2401,19.5,73
22,4,108,2379,16.5,73
18,3,70,2124,13.5,73
19,4,122,2310,18.5,73
21,6,155,2472,14,73
26,4,98,2265,15.5,73
15,8,350,4082,13,73
16,8,400,4278,9.5,73
29,4,68,1867,19.5,73
24,4,116,2158,15.5,73
20,4,114,2582,14,73
19,4,121,2868,15.5,73
15,8,318,3399,11,73
24,4,121,2660,14,73
20,6,156,2807,13.5,73
11,8,350,3664,11,73
20,6,198,3102,16.5,74
21,6,200,2875,17,74
19,6,232,2901,16,74
15,6,250,3336,17,74
31,4,79,1950,19,74
26,4,122,2451,16.5,74
32,4,71,1836,21,74
25,4,140,2542,17,74
16,6,250,3781,17,74
16,6,258,3632,18,74
18,6,225,3613,16.5,74
16,8,302,4141,14,74
13,8,350,4699,14.5,74
14,8,318,4457,13.5,74
14,8,302,4638,16,74
14,8,304,4257,15.5,74
29,4,98,2219,16.5,74
26,4,79,1963,15.5,74
26,4,97,2300,14.5,74
31,4,76,1649,16.5,74
32,4,83,2003,19,74
28,4,90,2125,14.5,74
24,4,90,2108,15.5,74
26,4,116,2246,14,74
24,4,120,2489,15,74
26,4,108,2391,15.5,74
31,4,79,2000,16,74
19,6,225,3264,16,75
18,6,250,3459,16,75
15,6,250,3432,21,75
15,6,250,3158,19.5,75
16,8,400,4668,11.5,75
15,8,350,4440,14,75
16,8,318,4498,14.5,75
14,8,351,4657,13.5,75
17,6,231,3907,21,75
16,6,250,3897,18.5,75
15,6,258,3730,19,75
18,6,225,3785,19,75
21,6,231,3039,15,75
20,8,262,3221,13.5,75
13,8,302,3169,12,75
29,4,97,2171,16,75
23,4,140,2639,17,75
20,6,232,2914,16,75
23,4,140,2592,18.5,75
24,4,134,2702,13.5,75
25,4,90,2223,16.5,75
24,4,119,2545,17,75
18,6,171,2984,14.5,75
29,4,90,1937,14,75
19,6,232,3211,17,75
23,4,115,2694,15,75
23,4,120,2957,17,75
22,4,121,2945,14.5,75
25,4,121,2671,13.5,75
33,4,91,1795,17.5,75
28,4,107,2464,15.5,76
25,4,116,2220,16.9,76
25,4,140,2572,14.9,76
26,4,98,2255,17.7,76
27,4,101,2202,15.3,76
17.5,8,305,4215,13,76
16,8,318,4190,13,76
15.5,8,304,3962,13.9,76
14.5,8,351,4215,12.8,76
22,6,225,3233,15.4,76
22,6,250,3353,14.5,76
24,6,200,3012,17.6,76
22.5,6,232,3085,17.6,76
29,4,85,2035,22.2,76
24.5,4,98,2164,22.1,76
29,4,90,1937,14.2,76
33,4,91,1795,17.4,76
20,6,225,3651,17.7,76
18,6,250,3574,21,76
18.5,6,250,3645,16.2,76
17.5,6,258,3193,17.8,76
29.5,4,97,1825,12.2,76
32,4,85,1990,17,76
28,4,97,2155,16.4,76
26.5,4,140,2565,13.6,76
20,4,130,3150,15.7,76
13,8,318,3940,13.2,76
19,4,120,3270,21.9,76
19,6,156,2930,15.5,76
16.5,6,168,3820,16.7,76
16.5,8,350,4380,12.1,76
13,8,350,4055,12,76
13,8,302,3870,15,76
13,8,318,3755,14,76
31.5,4,98,2045,18.5,77
30,4,111,2155,14.8,77
36,4,79,1825,18.6,77
25.5,4,122,2300,15.5,77
33.5,4,85,1945,16.8,77
17.5,8,305,3880,12.5,77
17,8,260,4060,19,77
15.5,8,318,4140,13.7,77
15,8,302,4295,14.9,77
17.5,6,250,3520,16.4,77
20.5,6,231,3425,16.9,77
19,6,225,3630,17.7,77
18.5,6,250,3525,19,77
16,8,400,4220,11.1,77
15.5,8,350,4165,11.4,77
15.5,8,400,4325,12.2,77
16,8,351,4335,14.5,77
29,4,97,1940,14.5,77
24.5,4,151,2740,16,77
26,4,97,2265,18.2,77
25.5,4,140,2755,15.8,77
30.5,4,98,2051,17,77
33.5,4,98,2075,15.9,77
30,4,97,1985,16.4,77
30.5,4,97,2190,14.1,77
22,6,146,2815,14.5,77
21.5,4,121,2600,12.8,77
21.5,3,80,2720,13.5,77
43.1,4,90,1985,21.5,78
36.1,4,98,1800,14.4,78
32.8,4,78,1985,19.4,78
39.4,4,85,2070,18.6,78
36.1,4,91,1800,16.4,78
19.9,8,260,3365,15.5,78
19.4,8,318,3735,13.2,78
20.2,8,302,3570,12.8,78
19.2,6,231,3535,19.2,78
20.5,6,200,3155,18.2,78
20.2,6,200,2965,15.8,78
25.1,4,140,2720,15.4,78
20.5,6,225,3430,17.2,78
19.4,6,232,3210,17.2,78
20.6,6,231,3380,15.8,78
20.8,6,200,3070,16.7,78
18.6,6,225,3620,18.7,78
18.1,6,258,3410,15.1,78
19.2,8,305,3425,13.2,78
17.7,6,231,3445,13.4,78
18.1,8,302,3205,11.2,78
17.5,8,318,4080,13.7,78
30,4,98,2155,16.5,78
27.5,4,134,2560,14.2,78
27.2,4,119,2300,14.7,78
30.9,4,105,2230,14.5,78
21.1,4,134,2515,14.8,78
23.2,4,156,2745,16.7,78
23.8,4,151,2855,17.6,78
23.9,4,119,2405,14.9,78
20.3,5,131,2830,15.9,78
17,6,163,3140,13.6,78
21.6,4,121,2795,15.7,78
16.2,6,163,3410,15.8,78
31.5,4,89,1990,14.9,78
29.5,4,98,2135,16.6,78
21.5,6,231,3245,15.4,79
19.8,6,200,2990,18.2,79
22.3,4,140,2890,17.3,79
20.2,6,232,3265,18.2,79
20.6,6,225,3360,16.6,79
17,8,305,3840,15.4,79
17.6,8,302,3725,13.4,79
16.5,8,351,3955,13.2,79
18.2,8,318,3830,15.2,79
16.9,8,350,4360,14.9,79
15.5,8,351,4054,14.3,79
19.2,8,267,3605,15,79
18.5,8,360,3940,13,79
31.9,4,89,1925,14,79
34.1,4,86,1975,15.2,79
35.7,4,98,1915,14.4,79
27.4,4,121,2670,15,79
25.4,5,183,3530,20.1,79
23,8,350,3900,17.4,79
27.2,4,141,3190,24.8,79
23.9,8,260,3420,22.2,79
34.2,4,105,2200,13.2,79
34.5,4,105,2150,14.9,79
31.8,4,85,2020,19.2,79
37.3,4,91,2130,14.7,79
28.4,4,151,2670,16,79
28.8,6,173,2595,11.3,79
26.8,6,173,2700,12.9,79
33.5,4,151,2556,13.2,79
41.5,4,98,2144,14.7,80
38.1,4,89,1968,18.8,80
32.1,4,98,2120,15.5,80
37.2,4,86,2019,16.4,80
28,4,151,2678,16.5,80
26.4,4,140,2870,18.1,80
24.3,4,151,3003,20.1,80
19.1,6,225,3381,18.7,80
34.3,4,97,2188,15.8,80
29.8,4,134,2711,15.5,80
31.3,4,120,2542,17.5,80
37,4,119,2434,15,80
32.2,4,108,2265,15.2,80
46.6,4,86,2110,17.9,80
27.9,4,156,2800,14.4,80
40.8,4,85,2110,19.2,80
44.3,4,90,2085,21.7,80
43.4,4,90,2335,23.7,80
36.4,5,121,2950,19.9,80
30,4,146,3250,21.8,80
44.6,4,91,1850,13.8,80
40.9,4,85,1835,17.3,80
33.8,4,97,2145,18,80
29.8,4,89,1845,15.3,80
32.7,6,168,2910,11.4,80
23.7,3,70,2420,12.5,80
35,4,122,2500,15.1,80
23.6,4,140,2905,14.3,80
32.4,4,107,2290,17,80
27.2,4,135,2490,15.7,81
26.6,4,151,2635,16.4,81
25.8,4,156,2620,14.4,81
23.5,6,173,2725,12.6,81
30,4,135,2385,12.9,81
39.1,4,79,1755,16.9,81
39,4,86,1875,16.4,81
35.1,4,81,1760,16.1,81
32.3,4,97,2065,17.8,81
37,4,85,1975,19.4,81
37.7,4,89,2050,17.3,81
34.1,4,91,1985,16,81
34.7,4,105,2215,14.9,81
34.4,4,98,2045,16.2,81
29.9,4,98,2380,20.7,81
33,4,105,2190,14.2,81
34.5,4,100,2320,15.8,81
33.7,4,107,2210,14.4,81
32.4,4,108,2350,16.8,81
32.9,4,119,2615,14.8,81
31.6,4,120,2635,18.3,81
28.1,4,141,3230,20.4,81
30.7,6,145,3160,19.6,81
25.4,6,168,2900,12.6,81
24.2,6,146,2930,13.8,81
22.4,6,231,3415,15.8,81
26.6,8,350,3725,19,81
20.2,6,200,3060,17.1,81
17.6,6,225,3465,16.6,81
28,4,112,2605,19.6,82
27,4,112,2640,18.6,82
34,4,112,2395,18,82
31,4,112,2575,16.2,82
29,4,135,2525,16,82
27,4,151,2735,18,82
24,4,140,2865,16.4,82
23,4,151,3035,20.5,82
36,4,105,1980,15.3,82
37,4,91,2025,18.2,82
31,4,91,1970,17.6,82
38,4,105,2125,14.7,82
36,4,98,2125,17.3,82
36,4,120,2160,14.5,82
36,4,107,2205,14.5,82
34,4,108,2245,16.9,82
38,4,91,1965,15,82
32,4,91,1965,15.7,82
38,4,91,1995,16.2,82
25,6,181,2945,16.4,82
38,6,262,3015,17,82
26,4,156,2585,14.5,82
22,6,232,2835,14.7,82
32,4,144,2665,13.9,82
36,4,135,2370,13,82
27,4,151,2950,17.3,82
27,4,140,2790,15.6,82
44,4,97,2130,24.6,82
32,4,135,2295,11.6,82
28,4,120,2625,18.6,82
31,4,119,2720,19.4,82
